pleiades_id,en,zh,source,note
# 中文译名对照表 / Chinese place-name table
#
# 用法：每行一个地点。pleiades_id 为准，en 仅供人工核对。
#   pleiades_id  Pleiades 地名 id（地图以此为准，必填）
#   en           英文/拉丁转写（人工核对用，程序不依赖）
#   zh           中文译名（可用 / 分隔多个异译，第一个为首选）
#   source       译名来源，例如：徐松岩《历史》索引 / 徐松岩《伯罗奔尼撒战争史》 /
#                徐松岩《希腊史》 / 通用 / 待核
#   note         备注，可留空
#
# 以 # 开头的行会被忽略。source 留空或标「待核」的条目会在运行时提示。
#
# 内容：Pleiades id 与中文地名的对照。译名取自徐松岩译本索引（事实性对应），
# 不包含译本正文或注释文字。Wikidata 行为 CC0。
599607,Eleusis,埃琉西斯,徐松岩《历史》2018修订本索引,
716526,Apis,阿皮斯,徐松岩《历史》2018修订本索引,（2）埃及西部边境一城镇
599575,Cnidus (Tekir),克尼多斯,徐松岩《历史》2018修订本索引,多利斯人的移民城邦，在卡里亚
501402,Doriskos,多利斯库斯,徐松岩《历史》2018修订本索引,
857138,Glaukos (river),格劳库斯,徐松岩《历史》2018修订本索引,（2）
590048,Siphnos (settlement),西弗诺斯,徐松岩《历史》2018修订本索引,在北欧 在利比亚 在塔索斯 在色雷斯，斯卡普特·
580051,Pallene,帕列涅,徐松岩《历史》2018修订本索引,
540804,Halos,哈利斯,徐松岩《历史》2018修订本索引,
501596,Samothrace (settlement),萨莫色雷斯,徐松岩《历史》2018修订本索引,
540645,Aphetai?,阿菲泰,徐松岩《历史》2018修订本索引,在玛格涅西亚
